source	F	df_num	df_den	p	stat_str
Caudate_Putamen	307.92	1.0	75.0	p < .001	F(1, 75) = 307.92, p < .001
Rostral_Caudal	379.60	1.0	75.0	p < .001	F(1, 75) = 379.60, p < .001
Cortex_ROI	344.60	4.0	300.0	p < .001	F(4, 300) = 344.60, p < .001
hemisphere	172.16	1.0	75.0	p < .001	F(1, 75) = 172.16, p < .001
Caudate_Putamen:Rostral_Caudal	334.17	1.0	75.0	p < .001	F(1, 75) = 334.17, p < .001
Caudate_Putamen:Cortex_ROI	471.99	4.0	300.0	p < .001	F(4, 300) = 471.99, p < .001
Rostral_Caudal:Cortex_ROI	365.30	4.0	300.0	p < .001	F(4, 300) = 365.30, p < .001
Caudate_Putamen:hemisphere	158.44	1.0	75.0	p < .001	F(1, 75) = 158.44, p < .001
Rostral_Caudal:hemisphere	130.27	1.0	75.0	p < .001	F(1, 75) = 130.27, p < .001
Cortex_ROI:hemisphere	102.93	4.0	300.0	p < .001	F(4, 300) = 102.93, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI	321.10	4.0	300.0	p < .001	F(4, 300) = 321.10, p < .001
Caudate_Putamen:Rostral_Caudal:hemisphere	115.65	1.0	75.0	p < .001	F(1, 75) = 115.65, p < .001
Caudate_Putamen:Cortex_ROI:hemisphere	133.98	4.0	300.0	p < .001	F(4, 300) = 133.98, p < .001
Rostral_Caudal:Cortex_ROI:hemisphere	153.22	4.0	300.0	p < .001	F(4, 300) = 153.22, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI:hemisphere	166.50	4.0	300.0	p < .001	F(4, 300) = 166.50, p < .001
