subject	lo	hi	n_total	n_gp	frac_gp
100610	25	7	54	0	0.0
100610	4	29	2124	0	0.0
100610	2	12	349	2	0.0057306590257879654
100610	6	53	92	0	0.0
100610	6	16	4088	92	0.022504892367906065
100610	41	3	203	0	0.0
100610	5	48	1855	93	0.05013477088948787
100610	2	8	55	4	0.07272727272727272
100610	3	36	153	0	0.0
100610	19	7	1589	0	0.0
100610	44	1	174	2	0.011494252873563218
100610	9	2	3283	1	0.0003045994517209869
100610	5	30	3242	13	0.004009870450339297
100610	48	8	563	0	0.0
100610	1	34	405	6	0.014814814814814815
100610	31	7	112	0	0.0
100610	4	14	3	0	0.0
100610	14	2	10	5	0.5
100610	5	51	81	14	0.1728395061728395
100610	34	5	311	2	0.006430868167202572
100610	28	2	70	1	0.014285714285714285
100610	21	5	1298	5	0.003852080123266564
100610	20	5	16916	242	0.014305982501773468
100610	5	14	466	0	0.0
100610	51	1	76	70	0.9210526315789473
100610	49	8	17	0	0.0
100610	15	2	120	105	0.875
100610	7	32	728	0	0.0
100610	35	5	265	2	0.007547169811320755
100610	29	2	15758	2433	0.15439776621398654
100610	6	32	13	0	0.0
100610	8	18	32	1	0.03125
100610	7	16	148	1	0.006756756756756757
100610	30	7	1421	0	0.0
100610	45	1	2603	67	0.025739531310026893
100610	2	36	142	15	0.1056338028169014
100610	8	25	138	0	0.0
100610	3	12	14	0	0.0
100610	3	8	62	0	0.0
100610	4	30	329	0	0.0
100610	18	7	20	0	0.0
100610	24	7	948	0	0.0
100610	8	27	73	0	0.0
100610	1	8	52	0	0.0
100610	5	29	7	0	0.0
100610	40	3	39	0	0.0
100610	1	10	846	23	0.027186761229314422
100610	7	53	9	0	0.0
100610	7	29	135	0	0.0
100610	47	1	9	0	0.0
100610	37	5	46	2	0.043478260869565216
100610	2	34	298	20	0.06711409395973154
100610	42	3	17	0	0.0
100610	1	12	24	0	0.0
100610	5	53	54	10	0.18518518518518517
100610	4	32	17	0	0.0
100610	26	7	275	0	0.0
100610	5	16	2181	2	0.0009170105456212746
100610	7	51	39	1	0.02564102564102564
100610	6	48	16688	1075	0.06441754554170662
100610	3	10	75	0	0.0
100610	23	5	50	0	0.0
100610	7	14	48	0	0.0
100610	6	30	21225	3487	0.1642873969375736
100610	16	2	55	8	0.14545454545454545
100610	8	46	1	0	0.0
100610	2	10	5401	3	0.0005554526939455656
100610	36	5	283	4	0.014134275618374558
100610	27	7	15	0	0.0
100610	6	29	2231	235	0.105333930972658
100610	46	1	78	3	0.038461538461538464
100610	5	32	227	6	0.02643171806167401
100610	22	5	2747	15	0.005460502366217692
100610	33	7	349	0	0.0
100610	6	14	4049	12	0.0029636947394418374
100610	4	16	34	0	0.0
100610	1	36	142	0	0.0
100610	43	3	23	0	0.0
100610	7	48	29	0	0.0
100610	6	51	390	3	0.007692307692307693
100610	4	8	116	0	0.0
100610	37	7	27	0	0.0
100610	4	12	15	0	0.0
100610	7	34	326	0	0.0
100610	2	51	4	4	1.0
100610	9	4	31	0	0.0
100610	6	10	82	70	0.8536585365853658
100610	13	2	327	10	0.03058103975535168
100610	26	5	1445	14	0.009688581314878892
100610	42	1	374	8	0.0213903743315508
100610	3	30	166	0	0.0
100610	23	7	36	0	0.0
100610	1	32	55	0	0.0
100610	3	34	323	0	0.0
100610	27	5	6	0	0.0
100610	53	3	6	0	0.0
100610	8	23	213	0	0.0
100610	3	51	3	0	0.0
100610	5	8	370	67	0.1810810810810811
100610	46	3	31	0	0.0
100610	33	5	1296	28	0.021604938271604937
100610	3	14	3	0	0.0
100610	4	36	139	0	0.0
100610	7	10	3	2	0.6666666666666666
100610	1	16	2	2	1.0
100610	3	29	534	0	0.0
100610	6	34	330	12	0.03636363636363636
100610	36	7	1126	0	0.0
100610	52	3	2	0	0.0
100610	22	7	1322	5	0.0037821482602118004
100610	43	1	416	27	0.06490384615384616
100610	2	30	639	37	0.057902973395931145
100610	5	10	66	45	0.6818181818181818
100610	44	3	18	0	0.0
100610	2	32	8	0	0.0
100610	8	21	2050	0	0.0
100610	41	1	2077	90	0.043331728454501686
100610	6	36	228	2	0.008771929824561403
100610	20	7	11237	6	0.0005339503426181365
100610	7	8	4803	3	0.0006246096189881324
100610	25	5	60	0	0.0
100610	19	5	1250	3	0.0024
100610	50	3	3	0	0.0
100610	31	5	51	0	0.0
100610	1	29	2753	0	0.0
100610	3	16	4	0	0.0
100610	4	34	725	0	0.0
100610	8	6	1144	104	0.09090909090909091
100610	38	2	13	2	0.15384615384615385
100610	4	10	117	1	0.008547008547008548
100610	40	1	36	0	0.0
100610	1	30	33	0	0.0
100610	8	40	151	0	0.0
100610	11	2	1862	25	0.01342642320085929
100610	24	5	290	1	0.0034482758620689655
100610	8	38	227	2	0.00881057268722467
100610	49	6	1823	76	0.041689522764673616
100610	21	7	780	0	0.0
100610	35	7	237	0	0.0
100610	2	53	2	0	0.0
100610	3	32	33	0	0.0
100610	45	3	143	0	0.0
100610	39	2	5614	5	0.0008906305664410402
100610	18	5	676	0	0.0
100610	7	15	56	5	0.08928571428571429
100610	9	6	4	1	0.25
100610	6	31	7	1	0.14285714285714285
100610	1	9	146	0	0.0
100610	22	3	816	0	0.0
100610	4	33	203	0	0.0
100610	7	50	21	0	0.0
100610	8	26	223	0	0.0
100610	27	1	188	2	0.010638297872340425
100610	1	13	246	0	0.0
100610	17	8	3	0	0.0
100610	3	11	73	0	0.0
100610	52	7	18	5	0.2777777777777778
100610	5	52	2529	175	0.06919731119019375
100610	5	17	23	0	0.0
100610	33	1	355	3	0.008450704225352112
100610	43	5	1	1	1.0
100610	6	28	436	33	0.07568807339449542
100610	6	15	3698	21	0.005678745267712277
100610	16	8	99	0	0.0
100610	2	35	81	8	0.09876543209876543
100610	23	3	428	0	0.0
100610	1	37	5951	17	0.0028566627457570154
100610	26	1	18	0	0.0
100610	7	28	319	0	0.0
100610	6	50	1569	1	0.0006373486297004461
100610	3	35	670	0	0.0
100610	2	54	11	0	0.0
100610	37	3	416	0	0.0
100610	7	49	6	0	0.0
100610	4	50	2	0	0.0
100610	28	8	441	0	0.0
100610	1	35	145	0	0.0
100610	39	6	180	9	0.05
100610	9	3	14	0	0.0
100610	28	4	175	0	0.0
100610	21	3	1638	0	0.0
100610	6	17	134	2	0.014925373134328358
100610	18	1	1	1	1.0
100610	4	15	18	0	0.0
100610	6	52	5046	0	0.0
100610	5	49	811	50	0.06165228113440197
100610	24	1	184	1	0.005434782608695652
100610	11	6	13	1	0.07692307692307693
100610	14	8	37	0	0.0
100610	45	7	1	1	1.0
100610	54	5	3	0	0.0
100610	40	5	1337	0	0.0
100610	29	8	307	0	0.0
100610	5	28	375	1	0.0026666666666666666
100610	25	1	1761	31	0.017603634298693924
100610	3	13	36	0	0.0
100610	19	1	14320	137	0.009567039106145252
100610	38	6	2980	67	0.02248322147651007
100610	31	1	1258	0	0.0
100610	8	19	553	0	0.0
100610	20	3	2425	0	0.0
100610	1	11	806	0	0.0
100610	4	31	24	0	0.0
100610	8	24	1351	0	0.0
100610	2	37	2754	64	0.023238925199709513
100610	15	8	69	2	0.028985507246376812
100610	44	7	2	0	0.0
100610	7	17	1	1	1.0
100610	2	33	303	23	0.07590759075907591
100610	8	20	5891	5	0.0008487523340689187
100610	40	7	155	0	0.0
100610	5	15	782	71	0.0907928388746803
100610	11	4	168	0	0.0
100610	5	50	383	21	0.05483028720626632
100610	6	37	2	0	0.0
100610	5	11	1	1	1.0
100610	39	4	1223	0	0.0
100610	39	8	91	0	0.0
100610	6	33	745	50	0.06711409395973154
100610	18	3	1	0	0.0
100610	1	15	40	35	0.875
100610	24	3	94	0	0.0
100610	11	8	11	0	0.0
100610	21	1	4773	21	0.0043997485857950975
100610	27	3	129	0	0.0
100610	4	35	30	0	0.0
100610	19	3	12102	3	0.00024789291026276647
100610	38	4	8	0	0.0
100610	2	50	12	1	0.08333333333333333
100610	10	8	1	0	0.0
100610	25	3	1632	0	0.0
100610	3	33	237	0	0.0
100610	20	1	688	5	0.007267441860465116
100610	31	3	832	0	0.0
100610	45	5	1	0	0.0
100610	43	7	8	0	0.0
100610	44	5	63	47	0.746031746031746
100610	1	28	31	0	0.0
100610	4	13	66	0	0.0
100610	3	15	1	0	0.0
100610	4	43	7	0	0.0
100610	7	11	3	0	0.0
100610	23	1	143	0	0.0
100610	6	35	576	45	0.078125
100610	22	1	753	3	0.00398406374501992
100610	26	3	44	0	0.0
100610	3	28	89	0	0.0
100610	2	31	203	0	0.0
100610	8	22	1857	1	0.0005385029617662897
100610	4	37	257	0	0.0
100610	6	54	6928	13	0.0018764434180138568
100610	6	41	3	0	0.0
100610	22	4	2382	0	0.0
100610	36	8	63	2	0.031746031746031744
100610	42	2	1047	25	0.02387774594078319
100610	4	20	951	0	0.0
100610	4	5	106	0	0.0
100610	6	7	619	63	0.10177705977382875
100610	26	6	1132	10	0.0088339222614841
100610	43	2	2008	13	0.006474103585657371
100610	37	8	6	0	0.0
100610	2	45	2540	3	0.0011811023622047244
100610	2	3	442	10	0.02262443438914027
100610	6	20	9012	112	0.012427873945849977
100610	23	4	1598	0	0.0
100610	2	19	5739	13	0.0022652029970378113
100610	27	6	173	1	0.005780346820809248
100610	7	39	9	0	0.0
100610	2	24	341	8	0.02346041055718475
100610	35	8	96	0	0.0
100610	2	1	3573	331	0.09263923873495662
100610	5	39	17	0	0.0
100610	4	7	71	0	0.0
100610	18	6	1354	48	0.03545051698670606
100610	6	22	7669	930	0.12126744034424305
100610	39	1	4707	18	0.0038240917782026767
100610	2	26	3	0	0.0
100610	6	5	3407	474	0.1391253302025242
100610	21	4	3571	0	0.0
100610	38	1	59	2	0.03389830508474576
100610	25	6	204	2	0.00980392156862745
100610	8	54	1	0	0.0
100610	34	8	144	0	0.0
100610	40	2	20	0	0.0
100610	19	6	459	20	0.04357298474945534
100610	24	6	568	49	0.08626760563380281
100610	2	47	8665	6	0.0006924408540103866
100610	5	7	2833	176	0.06212495587716202
100610	41	2	13209	873	0.06609130138541904
100610	1	3	2137	33	0.01544220870379036
100610	7	1	39	1	0.02564102564102564
100610	30	8	4007	0	0.0
100610	44	2	328	12	0.036585365853658534
100610	4	45	5	0	0.0
100610	4	41	1515	0	0.0
100610	4	3	1804	0	0.0
100610	31	8	47	0	0.0
100610	39	3	271	0	0.0
100610	6	47	3	0	0.0
100610	6	43	2	0	0.0
100610	21	6	7606	460	0.06047856955035498
100610	8	50	9	0	0.0
100610	4	19	3835	0	0.0
100610	24	4	538	0	0.0
100610	2	5	213	135	0.6338028169014085
100610	5	3	162	0	0.0
100610	38	3	33	0	0.0
100610	46	2	170	7	0.041176470588235294
100610	27	4	1544	0	0.0
100610	4	26	32	0	0.0
100610	4	1	746	12	0.0160857908847185
100610	32	8	8	0	0.0
100610	6	3	66	4	0.06060606060606061
100610	25	4	838	0	0.0
100610	2	7	15	2	0.13333333333333333
100610	2	20	52	0	0.0
100610	8	33	793	0	0.0
100610	6	1	266	134	0.5037593984962406
100610	3	7	91	0	0.0
100610	1	5	147	59	0.4013605442176871
100610	23	6	679	46	0.06774668630338733
100610	2	22	2196	86	0.039162112932604735
100610	4	47	3	0	0.0
100610	6	40	908	8	0.00881057268722467
100610	2	25	1055	8	0.007582938388625593
100610	2	18	2	2	1.0
100610	5	38	2245	16	0.0071269487750556795
100610	4	40	86	0	0.0
100610	42	4	13	0	0.0
100610	8	52	2	0	0.0
100610	2	27	698	12	0.017191977077363897
100610	2	6	530	337	0.6358490566037736
100610	38	7	598	1	0.0016722408026755853
100610	23	2	349	24	0.06876790830945559
100610	4	6	221	17	0.07692307692307693
100610	21	2	7577	1257	0.16589679292596013
100610	46	6	7	0	0.0
100610	44	6	6	5	0.8333333333333334
100610	53	8	2	0	0.0
100610	46	4	15	0	0.0
102311	2	12	78	0	0.0
102311	1	34	151	5	0.033112582781456956
102311	2	8	34	0	0.0
100610	4	44	5	0	0.0
100610	8	51	8	4	0.5
102311	31	7	165	0	0.0
100610	4	2	925	110	0.11891891891891893
102311	25	7	2	0	0.0
102311	19	7	502	0	0.0
102311	3	36	126	0	0.0
102311	48	4	3	0	0.0
102311	4	29	2600	0	0.0
102311	5	48	2406	160	0.06650041562759768
102311	41	3	93	0	0.0
102311	50	1	16	6	0.375
102311	6	53	142	2	0.014084507042253521
102311	4	14	2	0	0.0
102311	4	51	1	1	1.0
102311	9	2	2286	45	0.01968503937007874
102311	15	2	2	0	0.0
102311	35	5	16	0	0.0
102311	44	1	298	89	0.2986577181208054
102311	5	30	2547	5	0.0019630938358853552
102311	34	5	21	0	0.0
102311	14	2	5	1	0.2
102311	7	32	36	0	0.0
102311	48	8	367	0	0.0
102311	29	2	12622	2418	0.19157027412454444
102311	20	5	3989	104	0.026071697167209827
102311	21	5	45	0	0.0
102311	6	16	4629	100	0.02160293799956794
102311	28	2	11	0	0.0
102311	7	16	43	0	0.0
102311	2	36	144	21	0.14583333333333334
102311	5	51	297	175	0.5892255892255892
102311	45	1	2727	418	0.1532819948661533
102311	18	7	5	0	0.0
102311	49	8	11	0	0.0
102311	4	30	222	0	0.0
102311	5	14	301	0	0.0
102311	30	7	424	0	0.0
102311	51	1	1	1	1.0
102311	5	29	7	0	0.0
102311	7	53	14	0	0.0
102311	8	25	5	0	0.0
102311	8	18	8	0	0.0
102311	1	10	645	78	0.12093023255813953
102311	3	8	6	0	0.0
102311	8	27	23	0	0.0
102311	1	8	9	0	0.0
102311	1	12	23	6	0.2608695652173913
102311	5	16	904	5	0.0055309734513274336
102311	2	34	231	28	0.12121212121212122
102311	7	29	21	0	0.0
102311	3	10	25	0	0.0
102311	47	1	572	62	0.10839160839160839
102311	24	7	728	0	0.0
102311	5	53	88	17	0.19318181818181818
102311	42	3	15	0	0.0
