striatum	other	n_subjects	sum_n_total	sum_n_gp	pooled_frac_gp	mean_frac_gp	sd_frac_gp
aPUT-lh	R-STGp	8	13	13	1.0	1.0	0.0
pCAU-rh	L-OccFus	2	3	3	1.0	1.0	0.0
aPUT-lh	R-LOCinf	7	33	33	1.0	1.0	0.0
pPUT-rh	L-STGa	6	43	43	1.0	1.0	0.0
pPUT-lh	R-STGa	12	39	39	1.0	1.0	0.0
aPUT-rh	L-STGp	2	2	2	1.0	1.0	0.0
aPUT-lh	R-STGa	8	17	17	1.0	1.0	0.0
aPUT-lh	R-LOCsup	3	5	5	1.0	1.0	0.0
aPUT-lh	R-TempOccFus	55	2067	2047	0.9903241412675375	0.9412	0.2265
aPUT-lh	R-OccFus	15	88	87	0.9886363636363636	0.9949	0.0192
aPUT-rh	L-TempOccFus	63	3699	3449	0.9324141659908083	0.9249	0.1418
aPUT-lh	R-HG	16	28	26	0.9285714285714286	0.875	0.3307
pPUT-lh	R-TempOccFus	72	1955	1747	0.8936061381074168	0.6142	0.4263
aPUT-lh	R-PP	59	733	653	0.8908594815825375	0.743	0.3923
aPUT-rh	L-LOCinf	11	30	26	0.8666666666666667	0.7273	0.391
pPUT-lh	R-PP	76	1627	1389	0.8537185003073141	0.5612	0.4355
pPUT-rh	L-PP	76	1405	1152	0.8199288256227758	0.5694	0.4357
aPUT-rh	L-SupraCalc	14	42	34	0.8095238095238095	0.6048	0.4601
aPUT-rh	L-STGa	7	40	32	0.8	0.8312	0.3451
aPUT-rh	L-LOCsup	8	15	12	0.8	0.875	0.2165
aPUT-rh	L-IntraCalc	36	327	258	0.7889908256880734	0.739	0.3779
pPUT-rh	L-TempOccFus	82	1796	1413	0.7867483296213809	0.5048	0.4396
aPUT-rh	L-PP	62	890	688	0.7730337078651686	0.7361	0.3432
aPUT-rh	L-OccFus	41	752	549	0.7300531914893617	0.8218	0.2807
pPUT-lh	aPUT-rh	90	4809	3364	0.6995217300894156	0.5213	0.3689
aPUT-rh	L-PT	15	20	13	0.65	0.6667	0.4714
pPUT-rh	L-OFC	71	639	338	0.5289514866979655	0.4149	0.421
aPUT-lh	R-PT	19	27	14	0.5185185185185185	0.4386	0.4843
aPUT-lh	pPUT-rh	95	4442	2293	0.5162089149031968	0.4043	0.3383
aPUT-rh	L-HG	8	10	5	0.5	0.5	0.5
aPUT-lh	aPUT-rh	89	4418	2156	0.48800362154821186	0.4117	0.3139
pPUT-lh	pPUT-rh	97	11847	5186	0.43774795306828734	0.3687	0.2621
pCAU-rh	L-TempOccFus	9	16	7	0.4375	0.2778	0.4157
aCAU-rh	L-OccFus	29	105	39	0.37142857142857144	0.4418	0.435
aCAU-rh	L-LOCinf	5	6	2	0.3333333333333333	0.2	0.4
pCAU-rh	L-STGa	2	3	1	0.3333333333333333	0.5	0.5
aPUT-rh	L-OFC	66	1007	319	0.31678252234359483	0.3646	0.3897
pPUT-lh	R-STGp	44	146	44	0.3013698630136986	0.3234	0.423
pPUT-lh	R-OFC	61	356	94	0.2640449438202247	0.286	0.3791
aPUT-rh	R-TempOccFus	97	29731	6903	0.23218189768255357	0.2185	0.1394
aCAU-rh	L-TempOccFus	70	423	97	0.2293144208037825	0.2442	0.3596
aPUT-rh	pPUT-rh	97	325087	70789	0.2177540166170902	0.218	0.0663
pPUT-lh	R-OccFus	21	33	6	0.18181818181818182	0.1349	0.2654
aPUT-rh	R-SupraCalc	97	5005	785	0.15684315684315683	0.1497	0.0991
pPUT-rh	R-PreCG	97	2046369	319340	0.15605201212489048	0.1536	0.0435
pPUT-rh	R-SFG	97	775670	115247	0.14857735892841029	0.1493	0.055
pPUT-rh	R-MFG	97	146264	19962	0.1364792430126347	0.1287	0.0601
pPUT-rh	L-OccFus	25	44	6	0.13636363636363635	0.1267	0.2917
pPUT-lh	L-PreCG	97	1705621	225629	0.13228554291955832	0.1322	0.0618
pPUT-lh	R-HG	84	959	125	0.13034410844629823	0.1922	0.3215
pPUT-lh	aCAU-rh	96	2669	336	0.12588984638441364	0.1288	0.1801
aPUT-rh	R-IntraCalc	97	129034	16061	0.12447106964055986	0.128	0.0653
pPUT-rh	pCAU-rh	97	77123	9437	0.12236297861857033	0.1211	0.044
