source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Caudate_Putamen	1148.51	1.0	96.0	p < .001				F(1, 96) = 1148.51, p < .001
Rostral_Caudal	928.83	1.0	96.0	p < .001				F(1, 96) = 928.83, p < .001
Cortex_ROI	568.60	4.0	384.0	p < .001				F(4, 384) = 568.60, p < .001
hemisphere	7.68	1.0	96.0	p = .007				F(1, 96) = 7.68, p = .007
Caudate_Putamen:Rostral_Caudal	896.48	1.0	96.0	p < .001				F(1, 96) = 896.48, p < .001
Caudate_Putamen:Cortex_ROI	500.81	4.0	384.0	p < .001				F(4, 384) = 500.81, p < .001
Rostral_Caudal:Cortex_ROI	357.35	4.0	384.0	p < .001				F(4, 384) = 357.35, p < .001
Caudate_Putamen:hemisphere	5.85	1.0	96.0	p = .017				F(1, 96) = 5.85, p = .017
Rostral_Caudal:hemisphere	1.50	1.0	96.0	p = .223				F(1, 96) = 1.50, p = .223
Cortex_ROI:hemisphere	53.05	4.0	384.0	p < .001				F(4, 384) = 53.05, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI	357.37	4.0	384.0	p < .001				F(4, 384) = 357.37, p < .001
Caudate_Putamen:Rostral_Caudal:hemisphere	3.18	1.0	96.0	p = .078				F(1, 96) = 3.18, p = .078
Caudate_Putamen:Cortex_ROI:hemisphere	69.90	4.0	384.0	p < .001				F(4, 384) = 69.90, p < .001
Rostral_Caudal:Cortex_ROI:hemisphere	47.76	4.0	384.0	p < .001				F(4, 384) = 47.76, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI:hemisphere	62.63	4.0	384.0	p < .001				F(4, 384) = 62.63, p < .001
