Contrast	Caudate_Putamen	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Caudate_Putamen	-	Caudate	Putamen	0.0	p < .001	n/a	W = 0.0, p < .001	W = 0.0
Hierarchy	-	Belt	Parabelt	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Hierarchy	-	Belt	Primary	1705.0	p = .016	p = .016	W = 1705.0, p = .016	W = 1705.0, q = .016
Hierarchy	-	Parabelt	Primary	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Caudate_Putamen * Hierarchy	Caudate	Belt	Parabelt	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Caudate_Putamen * Hierarchy	Caudate	Belt	Primary	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Caudate_Putamen * Hierarchy	Caudate	Parabelt	Primary	909.0	p < .001	p < .001	W = 909.0, p < .001	W = 909.0, q < .001
Caudate_Putamen * Hierarchy	Putamen	Belt	Parabelt	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Caudate_Putamen * Hierarchy	Putamen	Belt	Primary	1213.0	p < .001	p < .001	W = 1213.0, p < .001	W = 1213.0, q < .001
Caudate_Putamen * Hierarchy	Putamen	Parabelt	Primary	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
