Contrast	Cortex_ROI	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Cortex_ROI	-	HG	PP	608.0	p < .001	p < .001	W = 608.0, p < .001	W = 608.0, q < .001
Cortex_ROI	-	HG	PT	35.0	p < .001	p < .001	W = 35.0, p < .001	W = 35.0, q < .001
Cortex_ROI	-	HG	STGa	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	HG	STGp	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PP	PT	2.0	p < .001	p < .001	W = 2.0, p < .001	W = 2.0, q < .001
Cortex_ROI	-	PP	STGa	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PP	STGp	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PT	STGa	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PT	STGp	4.0	p < .001	p < .001	W = 4.0, p < .001	W = 4.0, q < .001
Cortex_ROI	-	STGa	STGp	9.0	p < .001	p < .001	W = 9.0, p < .001	W = 9.0, q < .001
hemisphere	-	Left	Right	1640.0	p = .008	n/a	W = 1640.0, p = .008	W = 1640.0
Cortex_ROI * hemisphere	HG	Left	Right	2074.0	p = .277	p = .346	W = 2074.0, p = .277	W = 2074.0, q = .346
Cortex_ROI * hemisphere	PP	Left	Right	790.0	p < .001	p < .001	W = 790.0, p < .001	W = 790.0, q < .001
Cortex_ROI * hemisphere	PT	Left	Right	226.0	p < .001	p < .001	W = 226.0, p < .001	W = 226.0, q < .001
Cortex_ROI * hemisphere	STGa	Left	Right	2136.0	p = .484	p = .484	W = 2136.0, p = .484	W = 2136.0, q = .484
Cortex_ROI * hemisphere	STGp	Left	Right	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
