Contrast	Cortex_ROI	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Cortex_ROI	-	ACC	FMC	1099.0	p < .001	p < .001	W = 1099.0, p < .001	W = 1099.0, q < .001
Cortex_ROI	-	ACC	IFGo	35.0	p < .001	p < .001	W = 35.0, p < .001	W = 35.0, q < .001
Cortex_ROI	-	ACC	IFGt	223.0	p < .001	p < .001	W = 223.0, p < .001	W = 223.0, q < .001
Cortex_ROI	-	ACC	OFC	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	FMC	IFGo	30.0	p < .001	p < .001	W = 30.0, p < .001	W = 30.0, q < .001
Cortex_ROI	-	FMC	IFGt	138.0	p < .001	p < .001	W = 138.0, p < .001	W = 138.0, q < .001
Cortex_ROI	-	FMC	OFC	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	IFGo	IFGt	787.0	p < .001	p < .001	W = 787.0, p < .001	W = 787.0, q < .001
Cortex_ROI	-	IFGo	OFC	621.0	p < .001	p < .001	W = 621.0, p < .001	W = 621.0, q < .001
Cortex_ROI	-	IFGt	OFC	187.0	p < .001	p < .001	W = 187.0, p < .001	W = 187.0, q < .001
hemisphere	-	Left	Right	160.0	p < .001	n/a	W = 160.0, p < .001	W = 160.0
Cortex_ROI * hemisphere	ACC	Left	Right	871.0	p < .001	p < .001	W = 871.0, p < .001	W = 871.0, q < .001
Cortex_ROI * hemisphere	FMC	Left	Right	84.0	p < .001	p < .001	W = 84.0, p < .001	W = 84.0, q < .001
Cortex_ROI * hemisphere	IFGo	Left	Right	1314.0	p < .001	p < .001	W = 1314.0, p < .001	W = 1314.0, q < .001
Cortex_ROI * hemisphere	IFGt	Left	Right	1048.0	p < .001	p < .001	W = 1048.0, p < .001	W = 1048.0, q < .001
Cortex_ROI * hemisphere	OFC	Left	Right	11.0	p < .001	p < .001	W = 11.0, p < .001	W = 11.0, q < .001
