source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Caudate_Putamen	1953.69	1.0	99.0	p < .001				F(1, 99) = 1953.69, p < .001
Rostral_Caudal	578.45	1.0	99.0	p < .001				F(1, 99) = 578.45, p < .001
Cortex_ROI	661.84	4.0	396.0	p < .001				F(4, 396) = 661.84, p < .001
hemisphere	50.77	1.0	99.0	p < .001				F(1, 99) = 50.77, p < .001
Caudate_Putamen:Rostral_Caudal	251.68	1.0	99.0	p < .001				F(1, 99) = 251.68, p < .001
Caudate_Putamen:Cortex_ROI	65.97	4.0	396.0	p < .001				F(4, 396) = 65.97, p < .001
Rostral_Caudal:Cortex_ROI	48.79	4.0	396.0	p < .001				F(4, 396) = 48.79, p < .001
Caudate_Putamen:hemisphere	4.59	1.0	99.0	p = .035				F(1, 99) = 4.59, p = .035
Rostral_Caudal:hemisphere	23.59	1.0	99.0	p < .001				F(1, 99) = 23.59, p < .001
Cortex_ROI:hemisphere	88.05	4.0	396.0	p < .001				F(4, 396) = 88.05, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI	126.57	4.0	396.0	p < .001				F(4, 396) = 126.57, p < .001
Caudate_Putamen:Rostral_Caudal:hemisphere	7.08	1.0	99.0	p = .009				F(1, 99) = 7.08, p = .009
Caudate_Putamen:Cortex_ROI:hemisphere	19.85	4.0	396.0	p < .001				F(4, 396) = 19.85, p < .001
Rostral_Caudal:Cortex_ROI:hemisphere	1.27	4.0	396.0	p = .279				F(4, 396) = 1.27, p = .279
Caudate_Putamen:Rostral_Caudal:Cortex_ROI:hemisphere	19.84	4.0	396.0	p < .001				F(4, 396) = 19.84, p < .001
