source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Caudate_Putamen	11.39	1.0	99.0	p = .001				F(1, 99) = 11.39, p = .001
Rostral_Caudal	138.68	1.0	99.0	p < .001				F(1, 99) = 138.68, p < .001
Cortex_ROI	200.23	4.0	396.0	p < .001				F(4, 396) = 200.23, p < .001
hemisphere	174.71	1.0	99.0	p < .001				F(1, 99) = 174.71, p < .001
Caudate_Putamen:Rostral_Caudal	349.60	1.0	99.0	p < .001				F(1, 99) = 349.60, p < .001
Caudate_Putamen:Cortex_ROI	426.23	4.0	396.0	p < .001				F(4, 396) = 426.23, p < .001
Rostral_Caudal:Cortex_ROI	377.27	4.0	396.0	p < .001				F(4, 396) = 377.27, p < .001
Caudate_Putamen:hemisphere	86.79	1.0	99.0	p < .001				F(1, 99) = 86.79, p < .001
Rostral_Caudal:hemisphere	106.84	1.0	99.0	p < .001				F(1, 99) = 106.84, p < .001
Cortex_ROI:hemisphere	83.21	4.0	396.0	p < .001				F(4, 396) = 83.21, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI	233.15	4.0	396.0	p < .001				F(4, 396) = 233.15, p < .001
Caudate_Putamen:Rostral_Caudal:hemisphere	95.42	1.0	99.0	p < .001				F(1, 99) = 95.42, p < .001
Caudate_Putamen:Cortex_ROI:hemisphere	131.66	4.0	396.0	p < .001				F(4, 396) = 131.66, p < .001
Rostral_Caudal:Cortex_ROI:hemisphere	143.02	4.0	396.0	p < .001				F(4, 396) = 143.02, p < .001
Caudate_Putamen:Rostral_Caudal:Cortex_ROI:hemisphere	136.42	4.0	396.0	p < .001				F(4, 396) = 136.42, p < .001
