Contrast	Cortex_ROI	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Cortex_ROI	-	HG	PP	599.0	p < .001	p < .001	W = 599.0, p < .001	W = 599.0, q < .001
Cortex_ROI	-	HG	PT	44.0	p < .001	p < .001	W = 44.0, p < .001	W = 44.0, q < .001
Cortex_ROI	-	HG	STGa	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	HG	STGp	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PP	PT	5.0	p < .001	p < .001	W = 5.0, p < .001	W = 5.0, q < .001
Cortex_ROI	-	PP	STGa	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PP	STGp	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PT	STGa	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_ROI	-	PT	STGp	4.0	p < .001	p < .001	W = 4.0, p < .001	W = 4.0, q < .001
Cortex_ROI	-	STGa	STGp	18.0	p < .001	p < .001	W = 18.0, p < .001	W = 18.0, q < .001
hemisphere	-	Left	Right	1785.0	p = .011	n/a	W = 1785.0, p = .011	W = 1785.0
Cortex_ROI * hemisphere	HG	Left	Right	2278.0	p = .397	p = .397	W = 2278.0, p = .397	W = 2278.0, q = .397
Cortex_ROI * hemisphere	PP	Left	Right	912.0	p < .001	p < .001	W = 912.0, p < .001	W = 912.0, q < .001
Cortex_ROI * hemisphere	PT	Left	Right	271.0	p < .001	p < .001	W = 271.0, p < .001	W = 271.0, q < .001
Cortex_ROI * hemisphere	STGa	Left	Right	2088.0	p = .177	p = .222	W = 2088.0, p = .177	W = 2088.0, q = .222
Cortex_ROI * hemisphere	STGp	Left	Right	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
