Contrast	Striatum_ROI	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Striatum_ROI	-	aCAU	aPUT	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Striatum_ROI	-	aCAU	pCAU	246.0	p < .001	p < .001	W = 246.0, p < .001	W = 246.0, q < .001
Striatum_ROI	-	aCAU	pPUT	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Striatum_ROI	-	aPUT	pCAU	32.0	p < .001	p < .001	W = 32.0, p < .001	W = 32.0, q < .001
Striatum_ROI	-	aPUT	pPUT	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Striatum_ROI	-	pCAU	pPUT	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere	-	Left	Right	1785.0	p = .011	n/a	W = 1785.0, p = .011	W = 1785.0
Striatum_ROI * hemisphere	aCAU	Left	Right	2040.0	p = .096	p = .128	W = 2040.0, p = .096	W = 2040.0, q = .128
Striatum_ROI * hemisphere	aPUT	Left	Right	346.0	p < .001	p < .001	W = 346.0, p < .001	W = 346.0, q < .001
Striatum_ROI * hemisphere	pCAU	Left	Right	1807.0	p = .014	p = .027	W = 1807.0, p = .014	W = 1807.0, q = .027
Striatum_ROI * hemisphere	pPUT	Left	Right	2505.0	p = .947	p = .947	W = 2505.0, p = .947	W = 2505.0, q = .947
