Contrast	hemisphere	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
hemisphere	-	Left	Right	-2.60	75.0	p = .011	p = nan	t(75) = -2.60, p = .011	t(75) = -2.60, q = nan
Cortex_ROI	-	HG	PP	-7.98	75.0	p < .001	p < .001	t(75) = -7.98, p < .001	t(75) = -7.98, q < .001
Cortex_ROI	-	HG	PT	5.34	75.0	p < .001	p < .001	t(75) = 5.34, p < .001	t(75) = 5.34, q < .001
Cortex_ROI	-	HG	STGa	24.33	75.0	p < .001	p < .001	t(75) = 24.33, p < .001	t(75) = 24.33, q < .001
Cortex_ROI	-	HG	STGp	19.10	75.0	p < .001	p < .001	t(75) = 19.10, p < .001	t(75) = 19.10, q < .001
Cortex_ROI	-	PP	PT	10.76	75.0	p < .001	p < .001	t(75) = 10.76, p < .001	t(75) = 10.76, q < .001
Cortex_ROI	-	PP	STGa	24.52	75.0	p < .001	p < .001	t(75) = 24.52, p < .001	t(75) = 24.52, q < .001
Cortex_ROI	-	PP	STGp	21.36	75.0	p < .001	p < .001	t(75) = 21.36, p < .001	t(75) = 21.36, q < .001
Cortex_ROI	-	PT	STGa	19.82	75.0	p < .001	p < .001	t(75) = 19.82, p < .001	t(75) = 19.82, q < .001
Cortex_ROI	-	PT	STGp	15.83	75.0	p < .001	p < .001	t(75) = 15.83, p < .001	t(75) = 15.83, q < .001
Cortex_ROI	-	STGa	STGp	-14.77	75.0	p < .001	p < .001	t(75) = -14.77, p < .001	t(75) = -14.77, q < .001
hemisphere * Cortex_ROI	Left	HG	PP	-9.19	75.0	p < .001	p < .001	t(75) = -9.19, p < .001	t(75) = -9.19, q < .001
hemisphere * Cortex_ROI	Left	HG	PT	7.90	75.0	p < .001	p < .001	t(75) = 7.90, p < .001	t(75) = 7.90, q < .001
hemisphere * Cortex_ROI	Left	HG	STGa	21.21	75.0	p < .001	p < .001	t(75) = 21.21, p < .001	t(75) = 21.21, q < .001
hemisphere * Cortex_ROI	Left	HG	STGp	20.70	75.0	p < .001	p < .001	t(75) = 20.70, p < .001	t(75) = 20.70, q < .001
hemisphere * Cortex_ROI	Left	PP	PT	14.48	75.0	p < .001	p < .001	t(75) = 14.48, p < .001	t(75) = 14.48, q < .001
hemisphere * Cortex_ROI	Left	PP	STGa	24.83	75.0	p < .001	p < .001	t(75) = 24.83, p < .001	t(75) = 24.83, q < .001
hemisphere * Cortex_ROI	Left	PP	STGp	23.45	75.0	p < .001	p < .001	t(75) = 23.45, p < .001	t(75) = 23.45, q < .001
hemisphere * Cortex_ROI	Left	PT	STGa	14.56	75.0	p < .001	p < .001	t(75) = 14.56, p < .001	t(75) = 14.56, q < .001
hemisphere * Cortex_ROI	Left	PT	STGp	14.94	75.0	p < .001	p < .001	t(75) = 14.94, p < .001	t(75) = 14.94, q < .001
hemisphere * Cortex_ROI	Left	STGa	STGp	-1.50	75.0	p = .139	p = .146	t(75) = -1.50, p = .139	t(75) = -1.50, q = .146
hemisphere * Cortex_ROI	Right	HG	PP	-4.08	75.0	p < .001	p < .001	t(75) = -4.08, p < .001	t(75) = -4.08, q < .001
hemisphere * Cortex_ROI	Right	HG	PT	0.15	75.0	p = .879	p = .879	t(75) = 0.15, p = .879	t(75) = 0.15, q = .879
hemisphere * Cortex_ROI	Right	HG	STGa	20.29	75.0	p < .001	p < .001	t(75) = 20.29, p < .001	t(75) = 20.29, q < .001
hemisphere * Cortex_ROI	Right	HG	STGp	12.60	75.0	p < .001	p < .001	t(75) = 12.60, p < .001	t(75) = 12.60, q < .001
hemisphere * Cortex_ROI	Right	PP	PT	3.65	75.0	p < .001	p < .001	t(75) = 3.65, p < .001	t(75) = 3.65, q < .001
hemisphere * Cortex_ROI	Right	PP	STGa	17.74	75.0	p < .001	p < .001	t(75) = 17.74, p < .001	t(75) = 17.74, q < .001
hemisphere * Cortex_ROI	Right	PP	STGp	13.39	75.0	p < .001	p < .001	t(75) = 13.39, p < .001	t(75) = 13.39, q < .001
hemisphere * Cortex_ROI	Right	PT	STGa	19.91	75.0	p < .001	p < .001	t(75) = 19.91, p < .001	t(75) = 19.91, q < .001
hemisphere * Cortex_ROI	Right	PT	STGp	13.20	75.0	p < .001	p < .001	t(75) = 13.20, p < .001	t(75) = 13.20, q < .001
hemisphere * Cortex_ROI	Right	STGa	STGp	-15.45	75.0	p < .001	p < .001	t(75) = -15.45, p < .001	t(75) = -15.45, q < .001
