Contrast	Cortex_ROI	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
Cortex_ROI	-	HG	PP	-7.98	75.0	p < .001	p < .001	t(75) = -7.98, p < .001	t(75) = -7.98, q < .001
Cortex_ROI	-	HG	PT	5.34	75.0	p < .001	p < .001	t(75) = 5.34, p < .001	t(75) = 5.34, q < .001
Cortex_ROI	-	HG	STGa	24.33	75.0	p < .001	p < .001	t(75) = 24.33, p < .001	t(75) = 24.33, q < .001
Cortex_ROI	-	HG	STGp	19.10	75.0	p < .001	p < .001	t(75) = 19.10, p < .001	t(75) = 19.10, q < .001
Cortex_ROI	-	PP	PT	10.76	75.0	p < .001	p < .001	t(75) = 10.76, p < .001	t(75) = 10.76, q < .001
Cortex_ROI	-	PP	STGa	24.52	75.0	p < .001	p < .001	t(75) = 24.52, p < .001	t(75) = 24.52, q < .001
Cortex_ROI	-	PP	STGp	21.36	75.0	p < .001	p < .001	t(75) = 21.36, p < .001	t(75) = 21.36, q < .001
Cortex_ROI	-	PT	STGa	19.82	75.0	p < .001	p < .001	t(75) = 19.82, p < .001	t(75) = 19.82, q < .001
Cortex_ROI	-	PT	STGp	15.83	75.0	p < .001	p < .001	t(75) = 15.83, p < .001	t(75) = 15.83, q < .001
Cortex_ROI	-	STGa	STGp	-14.77	75.0	p < .001	p < .001	t(75) = -14.77, p < .001	t(75) = -14.77, q < .001
Caudate_Putamen	-	Caudate	Putamen	-27.22	75.0	p < .001	p = nan	t(75) = -27.22, p < .001	t(75) = -27.22, q = nan
Cortex_ROI * Caudate_Putamen	HG	Caudate	Putamen	-25.04	75.0	p < .001	p < .001	t(75) = -25.04, p < .001	t(75) = -25.04, q < .001
Cortex_ROI * Caudate_Putamen	PP	Caudate	Putamen	-22.77	75.0	p < .001	p < .001	t(75) = -22.77, p < .001	t(75) = -22.77, q < .001
Cortex_ROI * Caudate_Putamen	PT	Caudate	Putamen	-20.39	75.0	p < .001	p < .001	t(75) = -20.39, p < .001	t(75) = -20.39, q < .001
Cortex_ROI * Caudate_Putamen	STGa	Caudate	Putamen	-10.10	75.0	p < .001	p < .001	t(75) = -10.10, p < .001	t(75) = -10.10, q < .001
Cortex_ROI * Caudate_Putamen	STGp	Caudate	Putamen	-17.10	75.0	p < .001	p < .001	t(75) = -17.10, p < .001	t(75) = -17.10, q < .001
