Contrast	Cortex_ROI	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
Cortex_ROI	-	HG	PP	-7.98	75.0	p < .001	p < .001	t(75) = -7.98, p < .001	t(75) = -7.98, q < .001
Cortex_ROI	-	HG	PT	5.34	75.0	p < .001	p < .001	t(75) = 5.34, p < .001	t(75) = 5.34, q < .001
Cortex_ROI	-	HG	STGa	24.33	75.0	p < .001	p < .001	t(75) = 24.33, p < .001	t(75) = 24.33, q < .001
Cortex_ROI	-	HG	STGp	19.10	75.0	p < .001	p < .001	t(75) = 19.10, p < .001	t(75) = 19.10, q < .001
Cortex_ROI	-	PP	PT	10.76	75.0	p < .001	p < .001	t(75) = 10.76, p < .001	t(75) = 10.76, q < .001
Cortex_ROI	-	PP	STGa	24.52	75.0	p < .001	p < .001	t(75) = 24.52, p < .001	t(75) = 24.52, q < .001
Cortex_ROI	-	PP	STGp	21.36	75.0	p < .001	p < .001	t(75) = 21.36, p < .001	t(75) = 21.36, q < .001
Cortex_ROI	-	PT	STGa	19.82	75.0	p < .001	p < .001	t(75) = 19.82, p < .001	t(75) = 19.82, q < .001
Cortex_ROI	-	PT	STGp	15.83	75.0	p < .001	p < .001	t(75) = 15.83, p < .001	t(75) = 15.83, q < .001
Cortex_ROI	-	STGa	STGp	-14.77	75.0	p < .001	p < .001	t(75) = -14.77, p < .001	t(75) = -14.77, q < .001
Rostral_Caudal	-	Caudal	Rostral	24.80	75.0	p < .001	p = nan	t(75) = 24.80, p < .001	t(75) = 24.80, q = nan
Cortex_ROI * Rostral_Caudal	HG	Caudal	Rostral	25.81	75.0	p < .001	p < .001	t(75) = 25.81, p < .001	t(75) = 25.81, q < .001
Cortex_ROI * Rostral_Caudal	PP	Caudal	Rostral	16.38	75.0	p < .001	p < .001	t(75) = 16.38, p < .001	t(75) = 16.38, q < .001
Cortex_ROI * Rostral_Caudal	PT	Caudal	Rostral	18.74	75.0	p < .001	p < .001	t(75) = 18.74, p < .001	t(75) = 18.74, q < .001
Cortex_ROI * Rostral_Caudal	STGa	Caudal	Rostral	9.52	75.0	p < .001	p < .001	t(75) = 9.52, p < .001	t(75) = 9.52, q < .001
Cortex_ROI * Rostral_Caudal	STGp	Caudal	Rostral	14.49	75.0	p < .001	p < .001	t(75) = 14.49, p < .001	t(75) = 14.49, q < .001
