Contrast	Striatum_ROI	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
Striatum_ROI	-	aCAU	aPUT	-16.67	75.0	p < .001	p < .001	t(75) = -16.67, p < .001	t(75) = -16.67, q < .001
Striatum_ROI	-	aCAU	pCAU	-5.17	75.0	p < .001	p < .001	t(75) = -5.17, p < .001	t(75) = -5.17, q < .001
Striatum_ROI	-	aCAU	pPUT	-26.84	75.0	p < .001	p < .001	t(75) = -26.84, p < .001	t(75) = -26.84, q < .001
Striatum_ROI	-	aPUT	pCAU	15.35	75.0	p < .001	p < .001	t(75) = 15.35, p < .001	t(75) = 15.35, q < .001
Striatum_ROI	-	aPUT	pPUT	-24.80	75.0	p < .001	p < .001	t(75) = -24.80, p < .001	t(75) = -24.80, q < .001
Striatum_ROI	-	pCAU	pPUT	-26.76	75.0	p < .001	p < .001	t(75) = -26.76, p < .001	t(75) = -26.76, q < .001
hemisphere	-	Left	Right	-2.60	75.0	p = .011	p = nan	t(75) = -2.60, p = .011	t(75) = -2.60, q = nan
Striatum_ROI * hemisphere	aCAU	Left	Right	-1.08	75.0	p = .284	p = .368	t(75) = -1.08, p = .284	t(75) = -1.08, q = .368
Striatum_ROI * hemisphere	aPUT	Left	Right	-7.10	75.0	p < .001	p < .001	t(75) = -7.10, p < .001	t(75) = -7.10, q < .001
Striatum_ROI * hemisphere	pCAU	Left	Right	-1.61	75.0	p = .111	p = .222	t(75) = -1.61, p = .111	t(75) = -1.61, q = .222
Striatum_ROI * hemisphere	pPUT	Left	Right	-0.90	75.0	p = .368	p = .368	t(75) = -0.90, p = .368	t(75) = -0.90, q = .368
