Contrast	Cortex_ROI	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
Cortex_ROI	-	ACC	FMC	6.20	75.0	p < .001	p < .001	t(75) = 6.20, p < .001	t(75) = 6.20, q < .001
Cortex_ROI	-	ACC	ParsOp	-10.22	75.0	p < .001	p < .001	t(75) = -10.22, p < .001	t(75) = -10.22, q < .001
Cortex_ROI	-	ACC	ParsTri	-9.51	75.0	p < .001	p < .001	t(75) = -9.51, p < .001	t(75) = -9.51, q < .001
Cortex_ROI	-	ACC	OFC	-23.77	75.0	p < .001	p < .001	t(75) = -23.77, p < .001	t(75) = -23.77, q < .001
Cortex_ROI	-	FMC	ParsOp	-11.69	75.0	p < .001	p < .001	t(75) = -11.69, p < .001	t(75) = -11.69, q < .001
Cortex_ROI	-	FMC	ParsTri	-11.34	75.0	p < .001	p < .001	t(75) = -11.34, p < .001	t(75) = -11.34, q < .001
Cortex_ROI	-	FMC	OFC	-24.80	75.0	p < .001	p < .001	t(75) = -24.80, p < .001	t(75) = -24.80, q < .001
Cortex_ROI	-	ParsOp	ParsTri	1.85	75.0	p = .068	p = .068	t(75) = 1.85, p = .068	t(75) = 1.85, q = .068
Cortex_ROI	-	ParsOp	OFC	-18.16	75.0	p < .001	p < .001	t(75) = -18.16, p < .001	t(75) = -18.16, q < .001
Cortex_ROI	-	ParsTri	OFC	-17.20	75.0	p < .001	p < .001	t(75) = -17.20, p < .001	t(75) = -17.20, q < .001
Caudate_Putamen	-	Caudate	Putamen	-17.55	75.0	p < .001	p = nan	t(75) = -17.55, p < .001	t(75) = -17.55, q = nan
Cortex_ROI * Caudate_Putamen	ACC	Caudate	Putamen	14.35	75.0	p < .001	p < .001	t(75) = 14.35, p < .001	t(75) = 14.35, q < .001
Cortex_ROI * Caudate_Putamen	FMC	Caudate	Putamen	0.15	75.0	p = .884	p = .884	t(75) = 0.15, p = .884	t(75) = 0.15, q = .884
Cortex_ROI * Caudate_Putamen	ParsOp	Caudate	Putamen	4.25	75.0	p < .001	p < .001	t(75) = 4.25, p < .001	t(75) = 4.25, q < .001
Cortex_ROI * Caudate_Putamen	ParsTri	Caudate	Putamen	-1.76	75.0	p = .082	p = .103	t(75) = -1.76, p = .082	t(75) = -1.76, q = .103
Cortex_ROI * Caudate_Putamen	OFC	Caudate	Putamen	-25.81	75.0	p < .001	p < .001	t(75) = -25.81, p < .001	t(75) = -25.81, q < .001
